0B	1084.0980
1O	-16.0058

0Be	-301.6148
1F	267.8401

0Be	-197.5844
1H	190.0668

0H	-48.8758
1C	17.2308

0C	1592.3840
1O	25.7310

0Cl	88.9259

0O	-16.2239
1H	-62.3781

0H	-35.6896

0B	327.8905
1H	42.0566

0Be	-272.0976
2H	2.7808

2H	-7.3191

0C	38.2192
1H	-36.0819

0C	247.9725
1C	1018.5084
2H	50.4719

0C	359.1149
1H	377.2587
2O	-27.3508

1H	134.5728

0H	-21.0128

0O	-33.4433
1H	-66.0586

0H	-56.5680
2N	13.8376

0C	45.8156
1H	-58.7161

0C	363.5762
1F	179.6062
3H	74.2732

0C	-65.7990
1H	237.0293
3N	11.3382

0N	26.5589
1H	-68.6591

0P	934.8398
1H	17.1490

0C	-7.2691
1C	277.8613
2H	178.0327
3H	117.6497
4H	59.1585

2H	-54.6803
4N	4.8205

1H	-53.5835

